,tconst,titleType,primaryTitle,originalTitle,startYear,endYear,averageRating,numVotes,seriesScore,seriesRank,episodeScore,episodeRank,totalRuntime,combinedMetric
17432,tt10525048,tvSeries,Bigger,Bigger,2019,2021,7.5,366,6.25,40251,5.375,33850,345,16.796875
17433,tt1136740,tvSeries,Alithinoi erotes,Alithinoi erotes,2007,2009,5.9,189,5.45,87204,6.163888888888889,21022,696,16.79659722222222
17434,tt13519026,tvSeries,A Class Apart,Zebrarummet,2021,2021,5.9,781,5.45,87204,6.1625,21044,337,16.7928125
17435,tt5621544,tvSeries,Pinky Malinky,Pinky Malinky,2018,2019,5.8,1372,5.4,88694,6.218536585365854,19269,1586,16.79004878048781
17436,tt3945802,tvSeries,The Stanley Dynamic,The Stanley Dynamic,2014,2017,4.2,203,4.6,103170,7.3,644,39,16.79
17437,tt13169104,tvSeries,The Voice Turkey Rap,O Ses Türkiye Rap,2021,2023,4.2,125,4.6,103170,7.3,644,39,16.79
17438,tt3018178,tvSeries,Riddler,Riddler,2013,2013,6.1,53,5.55,83382,6.05,24213,1,16.78875
17439,tt1049302,tvSeries,Scene,Scene,1968,2007,6.1,26,5.55,83382,6.05,24213,220,16.78875
17440,tt0041042,tvSeries,Martin Kane,"Martin Kane, Private Eye",1949,1954,6.8,76,5.9,64836,5.690909090909091,31124,330,16.78818181818182
17441,tt0115374,tvSeries,Strisser på Samsø,Strisser på Samsø,1997,1998,6.2,406,5.6,81005,5.995454545454546,25855,588,16.78727272727273
17442,tt8826128,tvSeries,October Faction,October Faction,2020,2020,6.2,12296,5.65,78886,5.942,26936,411,16.786150000000003
17443,tt0051265,tvSeries,A Christmas Night with the Stars,A Christmas Night with the Stars,1958,1994,5.8,40,5.4,88694,6.216666666666666,19297,245,16.785
17444,tt12083014,tvSeries,Zero Chill,Zero Chill,2021,2021,5.8,1793,5.41,88646,6.205,19599,293,16.784525000000002
17445,tt3147692,tvSeries,Cleaners,Cleaners,2013,2014,6.2,640,5.6,81005,5.9944444444444445,25867,394,16.784444444444443
17446,tt0118492,tvSeries,Timecop,Timecop,1997,1998,6.2,663,5.6,81005,5.9944444444444445,25867,408,16.784444444444443
17447,tt11465278,tvSeries,He-Man and the Masters of the Universe,He-Man and the Masters of the Universe,2021,2022,5.9,2234,5.46,87144,6.148076923076923,21587,642,16.78425
17448,tt5717906,tvSeries,Counterfeit Cat,Counterfeit Cat,2016,2017,6.9,234,5.95,61763,5.641666666666667,31626,232,16.783958333333334
17449,tt21811888,tvSeries,Indian Predator: The Diary of a Serial Killer,Indian Predator: The Diary of a Serial Killer,2022,2022,6.2,2192,5.61,80929,5.983333333333333,26058,116,16.783250000000002
17450,tt14252964,tvMiniSeries,Gone for Good,Disparu à jamais,2021,2021,6.3,5117,5.67,78738,5.92,27337,247,16.7832
17451,tt0420457,tvSeries,Tanner on Tanner,Tanner on Tanner,2004,2004,6.5,340,5.75,73709,5.8375,28971,155,16.782812500000002
17452,tt7561642,tvSeries,Yeni Gelin,Yeni Gelin,2017,2018,4.8,445,4.9,99761,6.85,3871,39,16.7825
17453,tt1520605,tvSeries,Life on Top,Life on Top,2009,2011,6.4,640,5.7,76291,5.888461538461538,28092,765,16.782115384615384
17454,tt7076560,tvMiniSeries,Liberty,Liberty,2018,2018,6.3,462,5.65,78886,5.94,26975,293,16.780500000000004
17455,tt13178100,tvSeries,Matchmaker Mysteries,Matchmaker Mysteries,2019,2021,6.7,558,5.85,68111,5.736666666666667,30504,253,16.77975
