,tconst,primaryTitle,connection,titleType,startYear,endYear,runtimeMinutes,numVotes,averageRating
96,tt6298000,The Last of Us: Part II,Follows The Last of Us (tt2140553),videoGame,2020,\N,\N,41928,8.8
97,tt1282022,Batman: Arkham Asylum,,videoGame,2009,\N,\N,31436,9.1
98,tt1568322,Batman: Arkham City,Follows Batman: Arkham Asylum (tt1282022),videoGame,2011,\N,\N,34842,9.4
99,tt2842418,Batman: Arkham Origins,Follows Batman: Arkham Asylum (tt1282022),videoGame,2013,\N,\N,15344,8.2
100,tt2973462,Batman: Arkham Origins - Blackgate,Follows Batman: Arkham Asylum (tt1282022),videoGame,2013,\N,\N,860,7.1
101,tt3139086,Batman: Assault on Arkham,Follows Batman: Arkham Asylum (tt1282022),video,2014,\N,76,37731,7.4
102,tt3554580,Batman: Arkham Knight,Follows Batman: Arkham Asylum (tt1282022),videoGame,2015,\N,\N,23883,9.0
103,tt12892300,Suicide Squad: Kill the Justice League,Follows Batman: Arkham Asylum (tt1282022),videoGame,2024,\N,\N,1279,4.2
104,tt1160419,Dune,,movie,2021,\N,155,850765,8.0
105,tt15239678,Dune: Part Two,Follows Dune (tt1160419),movie,2024,\N,166,359317,8.7
106,tt0298148,Shrek 2,,movie,2004,\N,93,504467,7.3
107,tt0126029,Shrek,Followed by Shrek 2 (tt0298148),movie,2001,\N,90,733552,7.9
108,tt0360985,Shrek: The Ghost of Lord Farquaad,Followed by Shrek 2 (tt0298148),video,2003,\N,13,6017,6.2
109,tt0413267,Shrek the Third,Follows Shrek 2 (tt0298148),movie,2007,\N,93,332184,6.1
110,tt0897387,Shrek the Halls,Follows Shrek 2 (tt0298148),tvShort,2007,\N,21,15883,6.4
111,tt0892791,Shrek Forever After,Follows Shrek 2 (tt0298148),movie,2010,\N,93,224359,6.3
112,tt1725156,Scared Shrekless,Follows Shrek 2 (tt0298148),tvMovie,2010,\N,26,6133,6.7
113,tt2911666,John Wick,,movie,2014,\N,101,738514,7.4
114,tt4425200,John Wick: Chapter 2,Follows John Wick (tt2911666),movie,2017,\N,122,511221,7.4
115,tt6146586,John Wick: Chapter 3 - Parabellum,Follows John Wick (tt2911666),movie,2019,\N,130,425347,7.4
116,tt10366206,John Wick: Chapter 4,Follows John Wick (tt2911666),movie,2023,\N,169,332704,7.7
117,tt0351283,Madagascar,,movie,2005,\N,86,437163,6.9
118,tt0479952,Madagascar: Escape 2 Africa,Follows Madagascar (tt0351283),movie,2008,\N,89,247262,6.6
119,tt1277953,Madagascar 3: Europe's Most Wanted,Follows Madagascar (tt0351283),movie,2012,\N,93,197802,6.8
120,tt2702348,Madly Madagascar,Follows Madagascar (tt0351283),video,2013,\N,22,2392,6.2
121,tt3554046,Space Jam: A New Legacy,,movie,2021,\N,115,80242,4.5
122,tt0117705,Space Jam,Followed by Space Jam: A New Legacy (tt3554046),movie,1996,\N,88,213271,6.5
123,tt0477347,Night at the Museum,,movie,2006,\N,108,377013,6.5
124,tt1078912,Night at the Museum: Battle of the Smithsonian,Follows Night at the Museum (tt0477347),movie,2009,\N,105,212592,6.0
125,tt2692250,Night at the Museum: Secret of the Tomb,Follows Night at the Museum (tt0477347),movie,2014,\N,98,135386,6.2
126,tt16968450,The Wonderful Story of Henry Sugar,,short,2023,\N,40,69315,7.4
127,tt28912758,The Swan,Follows The Wonderful Story of Henry Sugar (tt16968450),short,2023,\N,17,19158,6.8
128,tt28912858,The Rat Catcher,Follows The Wonderful Story of Henry Sugar (tt16968450),short,2023,\N,17,19023,6.5
129,tt28912885,Poison,Follows The Wonderful Story of Henry Sugar (tt16968450),short,2023,\N,17,20993,6.8
130,tt0259446,My Big Fat Greek Wedding,,movie,2002,\N,95,144537,6.6
131,tt3760922,My Big Fat Greek Wedding 2,Follows My Big Fat Greek Wedding (tt0259446),movie,2016,\N,94,35572,6.0
132,tt21103300,My Big Fat Greek Wedding 3,Follows My Big Fat Greek Wedding (tt0259446),movie,2023,\N,92,9073,5.2
133,tt2085059,Black Mirror,,tvSeries,2011,\N,60,639224,8.7
134,tt9495224,Black Mirror: Bandersnatch,Follows Black Mirror (tt2085059),movie,2018,\N,90,136190,7.1
